person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_term,credit_score,monthly_expenses,co_applicant_income,employment_type,existing_loans,debt_to_income_ratio
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,60,686,78124,0,Self-Employed,0,0.25
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,48,757,31591,0,Unemployed,0,0.52
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,12,718,6095,0,Self-Employed,2,1.05
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,12,756,34311,0,Freelancer,0,0.42
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,36,651,24228,0,Salaried,5,0.86
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,36,672,4706,2375,Unemployed,2,1.32
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,24,627,5252,0,Salaried,0,0.13
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,48,645,30920,0,Self-Employed,0,0.5
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,48,633,6776,0,Self-Employed,3,1.67
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,36,614,7770,4729,Self-Employed,4,1.91
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,48,748,54670,0,Self-Employed,5,0.48
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,48,575,31785,0,Salaried,5,0.59
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,12,748,95889,0,Salaried,2,0.11
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,36,742,90474,236995,Self-Employed,5,0.11
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,60,704,8102,0,Salaried,1,0.62
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,36,624,33516,0,Unemployed,5,1.15
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,60,600,20515,20514,Freelancer,1,0.55
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,12,652,33246,0,Unemployed,0,0.4
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,,1,0.42,N,4,24,711,40593,0,Self-Employed,4,0.7
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,48,680,23056,27573,Self-Employed,3,0.73
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,12,627,6453,0,Freelancer,0,0.21
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,48,737,187634,0,Freelancer,0,0.07
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,24,764,192970,0,Freelancer,2,0.11
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,24,668,174770,0,Freelancer,5,0.12
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,12,685,99811,0,Self-Employed,0,0.08
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,24,604,131807,136569,Freelancer,3,0.11
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,60,659,55428,0,Freelancer,4,0.62
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,24,705,25001,0,Freelancer,1,0.53
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,48,697,42873,49402,Self-Employed,0,0.34
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,,1,0.38,Y,4,48,654,33826,0,Self-Employed,3,0.58
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,48,666,29812,43738,Salaried,1,0.45
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,48,657,39507,0,Freelancer,3,0.49
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,60,666,36453,36457,Freelancer,5,0.57
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,36,701,78108,46137,Salaried,3,0.38
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,12,581,103537,0,Salaried,5,0.12
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,48,676,152245,0,Self-Employed,4,0.14
23,277000,OWN,3.0,PERSONAL,A,35000,,0,0.13,N,4,24,697,187508,147396,Freelancer,4,0.2
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,48,651,87175,96883,Freelancer,1,0.27
24,12000,OWN,2.0,VENTURE,E,1750,,0,0.15,Y,3,24,656,6482,0,Freelancer,2,0.98
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,24,657,53494,0,Freelancer,1,0.27
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,48,656,109768,0,Unemployed,0,0.04
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,,1,0.04,N,4,60,680,157533,65351,Freelancer,0,0.04
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,24,686,153582,0,Unemployed,5,0.23
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,24,574,23172,22016,Unemployed,4,0.7
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,48,712,7389,0,Unemployed,2,0.96
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,24,665,90790,0,Salaried,2,0.15
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,24,776,108592,81694,Unemployed,4,0.15
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,48,620,134295,0,Self-Employed,4,0.12
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,48,636,104722,0,Freelancer,2,0.14
25,12000,OWN,0.0,MEDICAL,C,3000,,1,0.25,N,3,12,669,6721,8690,Self-Employed,3,1.5
22,56950,RENT,6.0,MEDICAL,A,28000,,1,0.49,N,2,60,700,26588,0,Freelancer,3,0.76
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,60,582,4651,0,Salaried,3,1.5
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,24,638,33304,0,Unemployed,1,0.51
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,60,709,26316,0,Salaried,4,0.56
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,24,632,7157,0,Salaried,4,2.17
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,12,748,44784,0,Self-Employed,1,0.38
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,48,657,8144,0,Salaried,1,0.77
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,48,635,4093,6871,Self-Employed,0,0.4
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,48,710,49214,54779,Salaried,3,0.52
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,60,760,105095,0,Salaried,5,0.17
144,250000,RENT,4.0,VENTURE,C,4800,13.57,0,0.02,N,3,12,700,112314,0,Salaried,4,0.1
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,60,743,43939,0,Salaried,4,0.48
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,60,763,48752,31971,Unemployed,2,0.35
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,,1,0.23,N,4,12,633,5668,0,Freelancer,2,1.06
22,108000,RENT,6.0,EDUCATION,B,28000,,1,0.26,N,4,12,726,33307,0,Freelancer,0,0.26
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,12,603,96571,110449,Salaried,4,0.32
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,,1,0.4,N,2,12,701,45037,29741,Freelancer,1,0.47
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,48,676,3789,0,Freelancer,3,1.52
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,36,742,42728,0,Freelancer,1,0.46
22,240000,OWN,6.0,PERSONAL,B,25000,,0,0.1,N,2,36,738,78938,0,Freelancer,5,0.21
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,12,708,45612,34336,Freelancer,2,0.51
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,36,694,45251,0,Self-Employed,5,0.63
24,73399,RENT,0.0,VENTURE,D,27000,,1,0.37,N,3,36,705,31014,43753,Self-Employed,5,0.71
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,12,683,34097,45181,Unemployed,1,0.5
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,36,676,60319,0,Self-Employed,0,0.21
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,60,752,6851,0,Freelancer,0,0.13
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,24,758,29408,0,Freelancer,3,0.67
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,24,672,142541,0,Freelancer,3,0.15
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,12,691,74437,0,Self-Employed,5,0.19
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,48,684,102424,0,Self-Employed,2,0.14
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,12,599,115743,0,Salaried,3,0.12
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,48,663,124456,0,Self-Employed,1,0.13
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,24,759,84598,0,Self-Employed,3,0.22
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,12,642,27374,0,Self-Employed,5,0.61
22,12600,MORTGAGE,,PERSONAL,A,2000,5.42,1,0.16,N,4,60,785,3885,8941,Unemployed,3,1.35
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,36,738,5861,4903,Self-Employed,3,1.33
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,48,700,18366,17392,Self-Employed,4,1.06
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,,1,0.61,N,3,36,708,21612,0,Freelancer,1,0.73
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,36,634,6149,2773,Freelancer,5,2.18
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,12,666,5930,0,Salaried,0,0.28
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,36,752,144036,0,Unemployed,5,0.2
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,60,649,123436,0,Unemployed,0,0.13
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,36,733,118947,0,Salaried,3,0.23
24,225000,RENT,0.0,MEDICAL,B,6000,,0,0.03,N,4,12,611,101864,0,Salaried,3,0.09
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,60,620,7915,0,Self-Employed,1,0.73
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,24,775,4689,0,Freelancer,0,0.18
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,36,679,19353,0,Salaried,2,0.83
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,12,653,15305,16542,Salaried,3,0.83
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,24,748,4498,0,Unemployed,3,1.43
22,12996,OWN,1.0,EDUCATION,B,4750,,1,0.37,N,3,24,742,4322,7410,Self-Employed,4,1.9
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,48,726,20187,0,Self-Employed,4,1.06
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,60,651,28367,18145,Salaried,1,0.61
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,36,665,95642,0,Self-Employed,2,0.16
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,12,695,69894,0,Salaried,2,0.06
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,48,714,131148,0,Unemployed,2,0.08
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,60,654,86168,0,Salaried,5,0.22
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,48,688,29137,0,Self-Employed,5,1.01
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,60,693,15147,0,Unemployed,1,0.6
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,60,744,21246,0,Self-Employed,5,1.0
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,36,717,24133,20887,Self-Employed,1,0.68
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,60,604,32423,26652,Unemployed,5,1.0
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,48,669,30084,0,Unemployed,1,0.6
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,60,633,23994,0,Freelancer,0,0.5
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,36,708,30545,30377,Unemployed,3,0.77
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,36,726,6798,0,Unemployed,0,0.38
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,48,685,137578,0,Freelancer,3,0.18
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,24,666,131506,100094,Unemployed,4,0.19
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,24,683,149113,165497,Salaried,3,0.19
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,60,690,73866,166120,Self-Employed,3,0.16
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,12,647,93800,152646,Salaried,3,0.23
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,60,619,81044,0,Salaried,2,0.1
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,48,577,28719,0,Freelancer,5,0.96
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,48,743,26018,0,Freelancer,0,0.54
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,48,704,20220,32209,Self-Employed,0,0.47
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,48,698,22025,26636,Unemployed,0,0.53
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,48,743,25420,0,Freelancer,3,0.85
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,36,617,7439,8565,Freelancer,0,0.11
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,24,593,4501,8719,Unemployed,3,1.48
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,48,699,140370,0,Salaried,4,0.17
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,12,694,65862,0,Salaried,2,0.15
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,12,593,33080,25954,Self-Employed,0,0.52
22,54996,RENT,6.0,EDUCATION,B,25000,,1,0.45,N,4,12,697,23457,19174,Self-Employed,3,0.73
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,,1,0.45,Y,4,12,659,23459,0,Freelancer,5,0.91
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,36,639,26312,16499,Freelancer,2,0.64
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,12,663,31789,0,Freelancer,2,0.64
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,48,557,20070,0,Unemployed,1,0.54
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,60,650,22511,0,Self-Employed,2,0.62
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,12,644,139322,0,Freelancer,4,0.2
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,36,707,123640,60237,Self-Employed,2,0.17
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,36,672,5358,0,Unemployed,1,0.92
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,12,711,31752,0,Freelancer,1,0.5
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,60,552,22886,0,Salaried,0,0.42
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,12,638,28081,0,Freelancer,0,0.46
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,,1,0.29,N,3,36,707,6248,7483,Freelancer,4,1.71
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,24,664,88993,0,Unemployed,5,0.18
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,48,722,110805,0,Unemployed,1,0.08
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,36,589,80147,0,Salaried,5,0.2
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,12,716,24932,0,Unemployed,4,0.83
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,48,648,40206,29697,Self-Employed,1,0.5
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,12,643,36128,31249,Unemployed,2,0.58
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,12,729,27198,0,Freelancer,0,0.42
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,24,738,24294,0,Self-Employed,3,0.65
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,48,731,31787,0,Unemployed,0,0.44
23,200000,MORTGAGE,7.0,EDUCATION,A,28000,,0,0.14,N,2,48,781,124615,81269,Freelancer,0,0.14
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,24,743,128861,0,Unemployed,0,0.12
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,36,640,105142,0,Freelancer,4,0.22
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,12,687,101343,0,Unemployed,3,0.15
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,60,661,117571,140163,Unemployed,5,0.2
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,12,781,74061,0,Salaried,5,0.18
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,12,735,42296,0,Unemployed,4,0.68
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,36,670,21751,0,Unemployed,2,0.53
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,12,723,108241,0,Self-Employed,4,0.14
144,200000,MORTGAGE,4.0,EDUCATION,B,6000,11.86,0,0.03,N,2,24,618,107175,97548,Freelancer,3,0.1
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,24,692,84856,0,Salaried,3,0.16
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,48,633,62837,154193,Freelancer,2,0.11
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,60,595,117428,131735,Unemployed,2,0.17
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,,0,0.1,N,3,12,719,61933,118983,Freelancer,0,0.1
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,,1,0.42,Y,2,12,725,22310,18250,Salaried,1,0.5
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,,1,0.21,N,4,36,702,7454,11315,Self-Employed,1,0.56
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,24,670,45288,0,Self-Employed,3,0.6
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,60,616,21867,35097,Self-Employed,1,0.45
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,48,621,35611,0,Unemployed,3,0.6
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,24,631,29345,0,Salaried,1,0.44
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,48,668,39175,0,Unemployed,5,0.72
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,36,733,136232,145394,Freelancer,5,0.18
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,36,733,76597,86421,Freelancer,0,0.11
26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,12,597,136474,0,Salaried,4,0.12
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,60,645,45374,0,Self-Employed,2,0.5
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,48,643,7816,0,Unemployed,2,0.97
24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,24,553,42230,0,Unemployed,5,0.71
24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,36,708,9301,0,Self-Employed,4,1.81
24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,12,667,34859,0,Freelancer,3,0.71
25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,12,674,28425,0,Self-Employed,2,0.53
26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,48,747,41252,0,Salaried,5,0.76
25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,36,684,6125,0,Salaried,0,0.37
25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,60,658,46967,0,Unemployed,1,0.41
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,36,708,29761,28883,Salaried,3,0.54
25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,48,732,39667,21122,Self-Employed,0,0.33
24,192000,RENT,0.0,MEDICAL,C,22000,,0,0.11,Y,2,48,694,110816,0,Self-Employed,2,0.17
21,192000,MORTGAGE,123.0,VENTURE,A,20000,6.54,0,0.1,N,4,36,714,90300,0,Self-Employed,2,0.16
25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4,48,672,117119,120551,Freelancer,5,0.18
26,190300,MORTGAGE,5.0,PERSONAL,A,15000,,0,0.08,N,3,36,675,127528,0,Salaried,5,0.21
22,190000,MORTGAGE,3.0,VENTURE,C,10000,,0,0.05,N,3,24,685,71155,0,Self-Employed,0,0.05
24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4,36,642,23503,0,Unemployed,4,0.6
22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4,36,651,39093,0,Self-Employed,4,0.63
26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4,48,748,102766,0,Freelancer,4,0.21
23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3,48,780,82937,0,Salaried,3,0.21
